number,country,farris,dependence,agreement_type,in_place,after_lisbon,signed,strength,scope,total,cases,total2,enforcement,total3,gsp,export,balance,export_share,import,import_share,import_energy,import_enshare,import_raw,freedom,echr
19,Lesotho (SADC),0.57,0.09,2,1,1,2016,2,1,3,,3,1,4,1,110.1,-2114.7,0,2224.6,0,0,0,11.7,5.7,0
20,Mexico,-1.33,0.02,2,1,0,1997,3,2,5,,5,0,5,0,289750.3,103694.5,1.74,186055.8,1.08,36947.9,0.93,7124.8,5.9,0
21,Moldova,0.36,0.13,2,1,0,2014,3,3,6,,6,0,6,0,20652.5,9597.9,0.1,11054.6,0.07,0,0,1445.7,6.2,1
22,Montenegro (Western Balkans),1.36,0.04,2,1,0,2007,3,3,6,,6,1,7,0,9115.9,7148,0.09,1967.8,,27.2,0,278.6,5.5,1
23,Morocco,0,0.11,2,1,0,1996,2,2,4,,4,1,5,0,178395.3,67255.3,0,111139.9,0.64,1720.3,0.02,6287.7,9.2,0
24,Mozambique (SADC),-0.22,0.1,2,1,1,2016,2,1,3,,3,1,4,1,6903.8,-6729.8,0,13633.5,0.1,1320.2,0.03,822.3,7.4,0
25,Namibia (SADC),1.18,0.09,2,1,1,2016,2,1,3,,3,1,4,0,5324.9,-5855.5,0,11180.5,0.09,3.7,3.7,707.5,4.1,0
26,North Macedonia (Western Balkans),0.81,0.27,2,1,0,2001,2,3,5,,5,1,6,0,37417.4,8188.4,0.23,29229,0.15,653,0,2092.2,6.5,1
27,Norway,3.97,0.18,2,1,0,1992,0,1,1,,1,1,2,0,478048.1,-335220.1,2.93,813268.4,4.84,457091.2,11.47,17423.6,2,1
28,Palestine Authority,,,2,1,0,1997,2,2,4,,4,0,4,0,1531.7,1364.6,0,167.1,0,2.4,0,52.7,14,0
29,San Marino,4.26,0.04,1,1,0,1991,0,0,0,,0,1,1,0,2412.4,1665.7,0,746.7,0,0.2,0,6.5,2,1
30,Serbia (Western Balkans),,0.15,2,1,0,2008,3,3,6,,6,0,6,0,104937.8,35657.4,0.64,69280.4,0.41,729.9,0.12,3650.3,4.4,1
31,South Africa,-0.84,0.06,2,1,1,2016,2,1,3,,3,0,3,0,233563.2,28369.1,1.42,205194.3,1.21,10598.9,0.28,22389.1,4,0
32,South Korea,1.36,0.03,2,1,1,2015,2,2,4,,4,0,4,0,395282.8,-2341.6,2.37,397624.7,2.35,14743,0.37,5543.6,3.6,0
33,Sri-Lanka,-1.25,0.04,3,1,0,1994,0,2,2,,2,0,2,1,13856.6,-10949.4,0.1,24805.8,0.13,3.9,3.9,751.2,8.3,0
34,Switzerland,2.04,0.15,2,1,0,1972,0,0,0,,0,1,1,0,1383205,382951.5,8.37,1000253.5,5.92,10765.3,0.28,13612.8,2,1
35,Tunisia,0,0.22,2,1,0,1995,1,2,3,,3,0,3,0,108691.2,14532.1,0.66,94159,0.57,10481.6,0.27,4117.6,6.5,0
36,Turkey,-1.13,0.07,1,1,0,1995,0,0,0,,0,0,0,0,726329.4,169968.9,4.41,556360.7,3.25,7649,0.2,12345.1,7.5,1
37,Antigua and Barbuda (CARIFORUM),1.66,0.08,2,1,0,2008,2,1,3,,3,1,4,0,2299.3,1228.5,0,1070.8,0,10.8,0,7,4.3,0
38,Bahamas (CARIFORUM),-0.21,0.04,2,1,0,2008,2,1,3,,3,1,4,0,8828.7,4674.2,0.05,4154.5,0,113.1,0,21.9,2,0
39,Barbados (CARIFORUM),1.39,0.01,2,1,0,2008,2,1,3,,3,1,4,0,1489.3,1032.7,0,456.5,0,1.5,0,4.6,2,0
40,Belize (CARIFORUM),0.88,0.08,2,1,0,2008,2,1,3,,3,1,4,0,1022.5,-261.6,0,1284,0,6.7,0,3.3,3,0
42,Cameroon (Central Africa),-0.54,0.06,2,1,0,2008,2,1,3,,3,1,4,0,15000.5,-4830,0.1,19830.3,0.1,0.21,0.21,3015.2,12,0
43,Canada,2.49,0.02,2,1,1,2016,1,3,4,,4,1,5,0,322637.5,43333.9,1.96,279303.4,1.65,20113.9,0.49,42725.9,2,0
44,Colombia (with Ecuador and Peru),-1.33,0.02,2,1,1,2012,3,2,5,,5,1,6,0,53888.2,-9158.2,0.32,63046.4,0.38,37655.3,0,3473,6.7,0
45,Côte d'Ivoire (West Africa),-0.93,0.12,2,1,1,2016,2,1,3,,3,1,4,0,21928.4,-15212.7,0.11,37140.9,0.22,4602.1,0.11,4310.7,9.6,0
46,Comoros (ESA),2.01,0.02,2,1,1,2009,2,1,3,,3,1,4,1,459,277.2,0,181.8,0,48.7,0,1.7,7.1,0
47,Costa Rica (Central America),-0.93,0.07,2,1,1,2012,3,2,5,,5,1,6,0,8696.2,-23488.5,0.07,32184.7,0.16,0,0,837.7,2,0
48,Cuba,-0.27,0.01,3,1,1,2016,3,2,5,,5,0,5,0,17598.7,12485.5,0.1,5113.3,0,1021,0.01,435.8,13,0
49,Dominica (CARIFORUM),1.96,0.02,2,1,0,2008,2,1,3,,3,1,4,0,235.1,116.2,0,118.9,0,0,0,19.9,2,0
50,Dominican Republic (CARIFORUM),-0.57,0.01,2,1,0,2008,2,1,3,,3,1,4,0,13818.7,5681.9,0.1,8136.7,0.02,102.6,0,135.6,5,0
51,Ecuador (with Colombia and Peru),0.41,0.03,2,1,1,2012,3,2,5,,5,0,5,0,18814.8,-6540.4,0.1,25355.2,0.17,246.5,0,2264.9,6.1,0
52,El Salvador (Central America),0.19,0.01,2,1,1,2012,3,2,5,,5,0,5,0,4976,2770.5,0,2205.6,0,0,0,102.9,5,0
53,Ethiopia (ESA),-1.33,0.01,2,1,1,2009,2,1,3,,3,0,3,1,14413.4,8420.1,0.1,5993.2,0,37.8,0,1793.8,12.1,0
54,Fiji (with Papua New Guinea),1.18,0.02,2,1,1,2009,2,1,3,,3,1,4,0,948.3,244.2,0,703.9,0,0,0,8.1,8.2,0
55,Ghana (West Africa),0.14,0.05,2,1,1,2016,2,1,3,,3,1,4,0,28781,2964.3,0.19,25816.6,0.16,9224.8,0.2,1226.5,3,0
56,Grenada (CARIFORUM),2.13,0.01,2,1,0,2008,2,1,3,,3,1,4,0,222.3,170.5,0,52,0,0,0,0,3,0
57,Guatemala (Central America),0.27,0.01,2,1,1,2012,3,2,5,,5,0,5,0,8085.8,1090.8,0.05,6995,0.04,88.8,0,1860.1,7.6,0
58,Guyana (CARIFORUM),0.79,0.07,2,1,0,2008,2,1,3,,3,1,4,0,1063.5,-945.6,0,2009.2,0,0,0,408.5,5,0
59,Honduras (Central America),-0.48,0.05,2,1,1,2012,3,2,5,,5,0,5,0,3918.8,-5189,0,9107.8,0.06,0,0,1662.6,8,0
60,Iraq,-2.18,0.06,3,1,1,2012,3,2,5,,5,0,5,0,39565.8,-70412.9,0.25,109978.5,0.64,109680.7,2.85,86.2,11.2,0
61,Jamaica (CARIFORUM),-0.45,0.02,2,1,0,2008,2,1,3,,3,1,4,0,2985.3,729.9,0,2255.4,0,10.6,0,1284.6,4.9,0
62,Kazakhstan,-0.26,0.1,3,1,1,2015,3,3,6,,6,0,6,0,59874.7,-129235.7,0.37,189110.3,1.09,170950.3,4.22,1629.3,11.3,0
63,Nicaragua (Central America),0.1,0.02,2,1,1,2012,3,2,5,,5,0,5,0,1877.9,-959.7,0,2837.4,0,39.1,0,396.3,8.4,0
64,Panama (Central America),1.66,0.01,2,1,1,2012,3,2,5,,5,1,6,0,24480.5,19180.5,0.14,5300,0,407.9,0,161.9,3.5,0
65,Papua New Guinea (with Fiji),0.26,0.04,2,1,1,2009,2,1,3,,3,1,4,0,1969.7,-5799.4,0,7769.1,0.02,0.2,0,5089.8,6.7,0
66,Madagascar (ESA),-0.53,0.07,2,1,1,2009,2,1,3,1,4,2,5,1,5274.8,-2681.8,0,7956.8,0.04,0.2,0,244.3,8.5,0
67,Mauritius (ESA),1,0.08,2,1,1,2009,2,1,3,,3,0,3,0,8942.8,-266.9,0.09,9209.9,0.08,43.9,0,54.6,3,0
68,Peru (with Colombia and Ecuador),0.3,0.03,2,1,1,2012,3,2,5,,5,1,6,0,31923.4,-21883.9,0.19,53807.4,0.31,3667.3,0.09,18613.5,5,0
69,Samoa (Pacific),2.38,0,2,1,1,2009,2,1,3,,3,1,4,1,68.9,50.8,0,18.3,0,0,0,0.8,4,0
70,Seychelles (ESA),1.54,0.2,2,1,1,2009,2,1,3,,3,1,4,0,2574.6,132.2,0,2442.5,0,28.7,0,8.7,6,0
71,St Kitts and Nevis (CARIFORUM),3.01,0.02,2,1,0,2008,2,1,3,,3,1,4,0,587.3,451,0,14.9,0,0,0,0.1,2.1,0
72,St Lucia (CARIFORUM),1,0.01,2,1,0,2008,2,1,3,,3,1,4,0,457.7,290.1,0,167.4,0,53.6,0,2.1,2,0
73,St Vincent and the Grenadines (CARIFORUM),1.52,0.07,2,1,0,2008,2,1,3,,3,1,4,0,654.8,130.8,0,524,0,0,0,0,2.1,0
74,Sudan (ESA),-2.7,0,2,1,1,2009,2,1,3,,3,0,3,0,9495.4,7696.1,0.07,1.5,0,285,0,842.7,14,0
75,Suriname (CARIFORUM),1.26,0.06,2,1,0,2008,2,1,3,,3,1,4,0,3233.4,694.4,0,2538.9,0,127.2,0,298,4.3,0
76,Trinidad and Tobago (CARIFORUM),0.74,0.06,2,1,0,2008,2,1,3,,3,1,4,0,5665.9,-9722.2,0,15388,0.1,8941.7,0.22,92.3,4,0
77,Ukraine,-0.78,0.11,2,1,1,2014,3,3,6,,6,0,6,0,191036.2,53385.7,1.18,137650.4,0.8,10438.4,0.26,34643.6,6.3,1
78,Zambia (ESA),-0.36,0.02,2,1,1,2009,2,1,3,,3,0,3,0,3959.9,80.8,0,3879.1,0,0,0,203.1,7.3,0
79,Zimbabwe (ESA),-1,0.02,2,1,1,2009,2,1,3,,3,0,3,0,2091.1,-1858.5,0,3949.5,0,0,0,527,11.1,0
80,Benin (West Africa),0.69,0,2,0,1,2016,2,2,4,,4,0,4,1,10634,10218.3,0.08,415.5,0,17.6,0,160.8,4,0
81,Burkina Faso (West Africa),0.13,0.01,2,0,1,2016,2,2,4,,4,0,4,1,5899.1,4868.7,0,1030.2,0,0,0,514.8,7.7,0
82,Burundi (EAC),-1.25,0.01,2,0,0,2014,2,1,3,,3,0,3,1,833.4,502.7,0,330.6,0,0,0,14.8,11.2,0
83,Cape Verde (West Africa),1.49,0.03,2,0,1,2016,2,2,4,,4,1,3,1,4659.6,4077.1,0,582.5,0,8,0,3.2,2,0
84,Djibouti (ESA),0.11,0.01,2,0,0,2009,2,1,3,,3,0,3,1,2313.5,2167.3,0,146.2,0,12.8,0,5.4,10.9,0
85,Eritrea (ESA),-1.72,0,2,0,0,2009,2,1,3,,3,0,3,1,678.6,573.8,0,105.1,0,0,0,75.3,14,0
87,Gambia (West Africa),-0.11,0.01,2,0,1,2016,2,1,3,,3,0,3,1,1395.2,1239.4,0,155.7,0,0,0,67.2,11,0
88,Guinea (West Africa),-0.37,0.06,2,0,1,2016,2,1,3,1,4,2,5,1,9059.2,4180.5,0.07,4878.4,0,112.1,0,3810.9,10.2,0
89,Guinea-Bisseau (West Africa),0.65,0,2,0,1,2016,2,1,3,1,4,2,5,1,1147.6,1108.7,0,38.7,0,0,0,16.4,9.5,0
90,Haiti (CARIFORUM),0.26,0,2,0,0,2008,2,1,3,,3,0,3,1,1911.5,1592.4,0,319.3,0,0,0,12.3,9.5,0
91,Kenya (EAC),-1.04,0.02,2,0,1,2014,2,1,3,,3,1,3,1,18356,6135.4,0.1,12221,0.1,0.4,0,4758.8,7.8,0
92,Liberia (West Africa),0.64,0.17,2,0,1,2016,2,1,3,,3,1,4,1,7187,2669,0.04,4518.2,0,334.5,0,1052.9,6.8,0
93,Mali (West Africa),-0.48,0.01,2,0,1,2016,2,1,3,,3,1,4,1,8404.2,8036.1,0.04,367.9,0,0,0,112.9,8,0
94,Niger (West Africa),-0.18,0.04,2,0,1,2016,2,1,3,1,4,2,5,0,3591.1,472,0,3119.5,0,33.2,0,4,7.7,0
95,Nigeria (West Africa),-2.01,0.05,2,0,1,2016,2,1,3,,3,0,3,1,109466.3,-97104.2,0.67,206570.7,1.2,196479.1,4.74,2102.6,8.3,0
96,Rwanda (EAC),-0.33,0.01,2,0,1,2014,2,1,3,,3,0,3,0,2032.5,1544.1,0,488.5,0,0,0,121.1,11.6,0
97,Senegal (West Africa),0.4,0.02,2,0,1,2016,2,1,3,,3,1,4,0,26703.6,22797.6,0.17,3906,0,133.6,0,796.2,4.8,0
98,Sierra Leone (West Africa),0.55,0.05,2,0,1,2016,2,1,3,,3,1,4,0,2374.8,363.2,0,2011.5,0,0,0,823.6,5.9,0
99,Singapore,1.83,0.06,2,0,1,2018,2,2,4,,4,1,5,0,291763,104166.7,1.79,187596.4,1.11,10972.3,0.28,1610.8,8.2,0
100,Tanzania (EAC),-0.03,0.01,2,0,1,2014,2,1,3,,3,1,4,0,9396,4228,0.08,5168.1,0,1.6,0,1004.9,6.8,0
101,Togo (West Africa),0.58,0.04,2,0,1,2016,2,1,3,,3,0,3,0,24940.8,23389,0.14,1551.6,0,103.1,0,366.2,8.5,0
102,Mauritania (West Africa),0.18,0.11,2,0,1,2016,2,1,3,,3,0,3,1,8714.6,3306.6,0.06,9209.9,0,43.9,0,2955.4,11,0
103,Uganda (EAC),-0.64,0.02,2,0,1,2014,2,1,3,,3,0,3,0,4811.8,374.9,0,4436.8,0,0,0,551.4,10,0
104,Vietnam,-0.3,0.13,2,0,1,2019,2,2,4,,4,0,4,1,70534.4,-160192,0.41,230726.5,1.31,92,0,2138.7,12,0
105,Azerbaijan,-0.39,0.2,3,1,0,1996,2,3,5,,5,0,5,0,26760.1,-87392.6,0.16,114152.8,0.68,112750.2,2.81,70.7,12.1,1
106,Mongolia,0.54,0.01,3,1,1,2013,3,2,5,,5,1,6,1,3528.4,2789.4,0,739,0,0.6,0,452,3.3,0
107,Philippines,-1.74,0.02,3,1,1,2012,2,2,4,,4,0,4,1,54753.2,-6235.1,0.34,60988.4,0.36,20,0,5570.7,6.1,0
108,Russia,-1.4,0.1,3,1,0,1994,2,2,4,,4,0,4,0,924063.8,-732369.6,5.68,1656433.6,9.82,1208737.6,29.99,39414.4,11.8,1
109,Tajikistan,-0.26,0.01,3,1,0,2004,3,3,6,,5,0,5,1,1646.2,923.1,0,723.2,0,0,0,72.5,12.1,0
110,Uzbekistan ,-0.57,0,3,1,0,1996,3,3,6,,5,0,5,1,14886.1,12269.7,0.1,2616.3,0,236.6,0,257.5,13.9,0
111,Yemen,-1.79,0,3,0,0,1997,2,2,4,,4,0,4,0,9428.9,8218.2,0.06,1210.4,0,893.8,0.29,113.4,12.4,0
112,New Zealand ,3.38,0.02,3,0,1,2016,2,2,4,,4,1,5,0,41017.9,9126,0.25,31891.7,0.2,3,0,2640.4,2,0
113,Turkmenistan,-0.45,0.02,3,0,0,1998,2,3,5,,5,1,6,0,9682.5,4389.9,0.08,5292.3,0.01,4478.3,0.11,79,14,0
